ap     rec    prec   f-measure
0.7037 0.1767 0.9003 0.2954
0.7037 0.1770 0.9005 0.2958
0.7037 0.1773 0.9007 0.2963
0.7037 0.1776 0.9008 0.2968
0.7037 0.1780 0.9010 0.2972
0.7037 0.1783 0.9012 0.2977
0.7037 0.1786 0.9013 0.2982
0.7037 0.1789 0.9015 0.2986
0.7037 0.1793 0.9016 0.2991
0.7037 0.1796 0.9018 0.2995
0.7037 0.1799 0.9020 0.3000
0.7037 0.1802 0.9021 0.3005
0.7037 0.1806 0.9023 0.3009
0.7037 0.1809 0.9024 0.3014
0.7037 0.1812 0.9026 0.3018
0.7037 0.1816 0.9028 0.3023
0.7037 0.1819 0.9029 0.3028
0.7037 0.1822 0.9031 0.3032
0.7037 0.1825 0.9032 0.3037
0.7037 0.1829 0.9034 0.3041
0.7037 0.1832 0.9035 0.3046
0.7037 0.1835 0.9037 0.3051
0.7037 0.1838 0.9038 0.3055
0.7037 0.1842 0.9040 0.3060
0.7037 0.1842 0.9026 0.3059
0.7037 0.1845 0.9027 0.3064
0.7037 0.1848 0.9029 0.3068
0.7037 0.1851 0.9030 0.3073
0.7037 0.1855 0.9032 0.3077
0.7037 0.1855 0.9017 0.3077
0.7037 0.1858 0.9019 0.3081
0.7037 0.1861 0.9021 0.3086
0.7037 0.1864 0.9022 0.3090
0.7037 0.1868 0.9024 0.3095
0.7037 0.1871 0.9025 0.3099
0.7037 0.1874 0.9027 0.3104
0.7037 0.1877 0.9028 0.3108
0.7037 0.1881 0.9030 0.3113
0.7037 0.1884 0.9031 0.3118
0.7037 0.1887 0.9033 0.3122
0.7037 0.1890 0.9034 0.3127
0.7037 0.1894 0.9036 0.3131
0.7037 0.1897 0.9037 0.3136
0.7037 0.1900 0.9039 0.3140
0.7037 0.1904 0.9040 0.3145
0.7037 0.1907 0.9042 0.3149
0.7037 0.1910 0.9043 0.3154
0.7037 0.1913 0.9045 0.3158
0.7037 0.1917 0.9046 0.3163
0.7037 0.1920 0.9048 0.3168
0.7037 0.1923 0.9049 0.3172
0.7037 0.1926 0.9051 0.3177
0.7037 0.1930 0.9052 0.3181
0.7037 0.1933 0.9053 0.3186
0.7037 0.1936 0.9055 0.3190
0.7037 0.1939 0.9056 0.3195
0.7037 0.1943 0.9058 0.3199
0.7037 0.1946 0.9059 0.3204
0.7037 0.1946 0.9045 0.3203
0.7037 0.1949 0.9047 0.3207
0.7037 0.1952 0.9048 0.3212
0.7037 0.1956 0.9050 0.3216
0.7037 0.1956 0.9036 0.3215
0.7037 0.1956 0.9023 0.3215
0.7037 0.1959 0.9024 0.3219
0.7037 0.1959 0.9010 0.3218
0.7037 0.1959 0.8997 0.3217
0.7037 0.1962 0.8999 0.3222
0.7037 0.1965 0.9000 0.3226
0.7037 0.1969 0.9001 0.3231
0.7037 0.1969 0.8988 0.3230
0.7037 0.1972 0.8990 0.3234
0.7037 0.1975 0.8991 0.3239
0.7037 0.1978 0.8993 0.3243
0.7037 0.1982 0.8994 0.3248
0.7037 0.1985 0.8996 0.3252
0.7037 0.1985 0.8982 0.3251
0.7037 0.1988 0.8984 0.3256
0.7037 0.1992 0.8985 0.3260
0.7037 0.1995 0.8987 0.3265
0.7037 0.1998 0.8988 0.3269
0.7037 0.2001 0.8990 0.3274
0.7037 0.2005 0.8991 0.3278
0.7037 0.2008 0.8993 0.3283
0.7037 0.2011 0.8994 0.3287
0.7037 0.2014 0.8996 0.3292
0.7037 0.2018 0.8997 0.3296
0.7037 0.2021 0.8999 0.3301
0.7037 0.2024 0.9000 0.3305
0.7037 0.2027 0.9001 0.3309
0.7037 0.2031 0.9003 0.3314
0.7037 0.2034 0.9004 0.3318
0.7037 0.2037 0.9006 0.3323
0.7037 0.2040 0.9007 0.3327
0.7037 0.2044 0.9009 0.3332
